month,neighbourhood,review_sum
2018-08,Glòries - El Parc,9550
2018-08,Gràcia,354
2018-08,Guinardó,5503
2018-08,Horta,1026
2018-08,Horta-Guinardó,63
2018-08,L'Antiga Esquerra de l'Eixample,23839
2018-08,La Barceloneta,5706
2018-08,La Font d'en Fargues,109
2018-08,La Guineueta - Canyelles,364
2018-08,La Maternitat i Sant Ramon,4102
2018-08,La Nova Esquerra de l'Eixample,30912
2018-08,La Prosperitat,266
2018-08,La Sagrada Família,38721
2018-08,La Sagrera,1398
2018-08,La Salut,2569
2018-08,La Teixonera,401
2018-08,La Trinitat Vella,24
2018-08,La Vall d'Hebron,77
2018-08,La Verneda i La Pau,1693
2018-08,La Vila Olímpica,4666
2018-08,Les Corts,4502
2018-08,Les Tres Torres,452
2018-08,Montbau,343
2018-08,Navas,1732
2018-08,Nou Barris,210
2018-08,Pedralbes,568
2018-08,Porta,672
2018-08,Provençals del Poblenou,3213
2018-08,Sant Andreu,1
2018-08,Sant Andreu de Palomar,1411
2018-08,Sant Antoni,31532
2018-08,Sant Genís dels Agudells,546
2018-08,Sant Gervasi - Galvany,6198
2018-08,Sant Gervasi - la Bonanova,939
2018-08,Sant Martí,234
2018-08,Sant Martí de Provençals,2626
2018-08,Sant Pere/Santa Caterina,12914
2018-08,Sants-Montjuïc,32319
2018-08,Sarrià,1217
2018-08,Sarrià-Sant Gervasi,5
2018-08,Torre Baró,336
2018-08,Trinitat Nova,198
2018-08,Turó de la Peira - Can Peguera,502
2018-08,Vallcarca i els Penitents,2522
2018-08,Verdum - Los Roquetes,723
2018-08,Vila de Gràcia,35215
2018-08,Vilapicina i la Torre Llobeta,1151
2018-08,el Fort Pienc,17820
2018-09,Baró de Viver,65
2018-09,Camp d'en Grassot i Gràcia Nova,10508
2018-09,Can Baro,1596
2018-09,Carmel,1844
2018-09,Ciutat Vella,534
2018-09,Diagonal Mar - La Mar Bella,3240
2018-09,Dreta de l'Eixample,60657
2018-09,Eixample,2097
2018-09,El Baix Guinardó,4233
2018-09,El Besòs i el Maresme,5294
2018-09,El Bon Pastor,77
2018-09,El Born,12946
2018-09,El Camp de l'Arpa del Clot,7656
2018-09,El Clot,4087
2018-09,El Coll,1541
2018-09,El Congrés i els Indians,609
2018-09,El Gòtic,36083
2018-09,El Poble-sec,39722
2018-09,El Poblenou,13912
2018-09,El Putget i Farró,4436
2018-09,El Raval,43210
2018-09,Glòries - El Parc,9879
2018-09,Gràcia,366
2018-09,Guinardó,4903
2018-09,Horta,1082
2018-09,Horta-Guinardó,63
2018-09,L'Antiga Esquerra de l'Eixample,24161
2018-09,La Barceloneta,5597
2018-09,La Font d'en Fargues,92
2018-09,La Guineueta - Canyelles,399
2018-09,La Maternitat i Sant Ramon,4115
2018-09,La Nova Esquerra de l'Eixample,30806
2018-09,La Prosperitat,243
2018-09,La Sagrada Família,39796
2018-09,La Sagrera,1770
2018-09,La Salut,2581
2018-09,La Teixonera,413
2018-09,La Trinitat Vella,31
2018-09,La Vall d'Hebron,112
2018-09,La Verneda i La Pau,1460
2018-09,La Vila Olímpica,4691
2018-09,Les Corts,4668
2018-09,Les Tres Torres,475
2018-09,Montbau,362
2018-09,Navas,1816
2018-09,Nou Barris,197
2018-09,Pedralbes,553
2018-09,Porta,708
2018-09,Provençals del Poblenou,3297
2018-09,Sant Andreu,2
2018-09,Sant Andreu de Palomar,1559
2018-09,Sant Antoni,31507
2018-09,Sant Genís dels Agudells,485
2018-09,Sant Gervasi - Galvany,6384
2018-09,Sant Gervasi - la Bonanova,775
2018-09,Sant Martí,245
2018-09,Sant Martí de Provençals,2640
2018-09,Sant Pere/Santa Caterina,12911
2018-09,Sants-Montjuïc,32329
2018-09,Sarrià,1259
2018-09,Sarrià-Sant Gervasi,5
2018-09,Torre Baró,335
2018-09,Trinitat Nova,111
2018-09,Turó de la Peira - Can Peguera,488
2018-09,Vallcarca i els Penitents,2585
2018-09,Verdum - Los Roquetes,704
2018-09,Vila de Gràcia,35531
2018-09,Vilapicina i la Torre Llobeta,1208
2018-09,el Fort Pienc,18020
2018-10,Baró de Viver,71
2018-10,Camp d'en Grassot i Gràcia Nova,10755
2018-10,Can Baro,1737
2018-10,Carmel,2117
2018-10,Ciutat Vella,556
2018-10,Diagonal Mar - La Mar Bella,3612
2018-10,Dreta de l'Eixample,62746
2018-10,Eixample,2295
2018-10,El Baix Guinardó,4195
2018-10,El Besòs i el Maresme,5547
2018-10,El Bon Pastor,88
2018-10,El Born,12672
2018-10,El Camp de l'Arpa del Clot,7560
2018-10,El Clot,4258
2018-10,El Coll,1439
2018-10,El Congrés i els Indians,523
2018-10,El Gòtic,35548
2018-10,El Poble-sec,39580
2018-10,El Poblenou,14436
2018-10,El Putget i Farró,4457
2018-10,El Raval,42168
2018-10,Glòries - El Parc,9928
2018-10,Gràcia,376
2018-10,Guinardó,4941
2018-10,Horta,1131
2018-10,Horta-Guinardó,55
2018-10,L'Antiga Esquerra de l'Eixample,24974
2018-10,La Barceloneta,5787
2018-10,La Font d'en Fargues,47
2018-10,La Guineueta - Canyelles,420
2018-10,La Maternitat i Sant Ramon,3949
