month,neighbourhood,price_mean
2018-04,La Vila Olímpica,213.9537037037037
2018-04,Les Corts,91.24595469255664
2018-04,Les Tres Torres,126.96875
2018-04,Montbau,31.714285714285715
2018-04,Navas,53.770833333333336
2018-04,Nou Barris,42.0
2018-04,Pedralbes,111.54545454545455
2018-04,Porta,35.8125
2018-04,Provençals del Poblenou,68.53982300884955
2018-04,Sant Andreu,51.8
2018-04,Sant Andreu de Palomar,99.06756756756756
2018-04,Sant Antoni,87.30561797752809
2018-04,Sant Genís dels Agudells,59.095238095238095
2018-04,Sant Gervasi - Galvany,117.07594936708861
2018-04,Sant Gervasi - la Bonanova,93.6969696969697
2018-04,Sant Martí,111.54285714285714
2018-04,Sant Martí de Provençals,43.7
2018-04,Sant Pere/Santa Caterina,84.52730696798493
2018-04,Sants-Montjuïc,85.51504787961696
2018-04,Sarrià,105.93103448275862
2018-04,Sarrià-Sant Gervasi,128.75
2018-04,Torre Baró,40.714285714285715
2018-04,Trinitat Nova,40.72727272727273
2018-04,Turó de la Peira - Can Peguera,33.851851851851855
2018-04,Vallcarca i els Penitents,68.9296875
2018-04,Verdum - Los Roquetes,36.875
2018-04,Vila de Gràcia,96.19285714285714
2018-04,Vilapicina i la Torre Llobeta,39.58064516129032
2018-04,el Fort Pienc,103.96903460837888
2018-05,Eixample,105.13911011999575
2018-05,El Putget i Farró,93.03174603174604
2018-05,Glòries - El Parc,109.91666666666667
2018-05,Gràcia,99.33219178082192
2018-05,Horta-Guinardó,88.87278911564626
2018-05,La Barceloneta,120.42774566473989
2018-05,Les Corts,130.25
2018-05,Nou Barris,52.666666666666664
2018-05,Sant Andreu,64.54458598726114
2018-05,Sant Martí,105.54322860238354
2018-05,Sants-Montjuïc,77.69261744966443
2018-05,Sarrià-Sant Gervasi,102.71264367816092
2018-06,Baró de Viver,25.0
2018-06,Camp d'en Grassot i Gràcia Nova,104.11708860759494
2018-06,Can Baro,51.72093023255814
2018-06,Carmel,110.65263157894736
2018-06,Ciutat Vella,114.72727272727273
2018-06,Diagonal Mar - La Mar Bella,277.57894736842104
2018-06,Dreta de l'Eixample,161.51544518473654
2018-06,Eixample,77.82456140350877
2018-06,El Baix Guinardó,60.76119402985075
2018-06,El Besòs i el Maresme,49.816964285714285
2018-06,El Bon Pastor,27.666666666666668
2018-06,El Born,85.45336787564767
2018-06,El Camp de l'Arpa del Clot,66.2508591065292
2018-06,El Clot,56.62893081761006
2018-06,El Coll,57.40816326530612
2018-06,El Congrés i els Indians,89.42553191489361
2018-06,El Gòtic,82.95121951219512
2018-06,El Poble-sec,93.70454545454545
2018-06,El Poblenou,98.95787139689578
2018-06,El Putget i Farró,112.28402366863905
2018-06,El Raval,75.987714987715
2018-06,Glòries - El Parc,70.01930501930502
2018-06,Gràcia,53.8
2018-06,Guinardó,76.47619047619048
2018-06,Horta,57.44444444444444
2018-06,Horta-Guinardó,138.75
2018-06,L'Antiga Esquerra de l'Eixample,101.59463087248322
2018-06,La Barceloneta,81.28112449799197
2018-06,La Font d'en Fargues,133.66666666666666
2018-06,La Guineueta - Canyelles,36.125
2018-06,La Maternitat i Sant Ramon,107.18705035971223
2018-06,La Nova Esquerra de l'Eixample,105.36756756756756
2018-06,La Prosperitat,39.294117647058826
2018-06,La Sagrada Família,101.77789150460593
2018-06,La Sagrera,50.28358208955224
2018-06,La Salut,64.20535714285714
2018-06,La Teixonera,47.05882352941177
2018-06,La Trinitat Vella,41.0
2018-06,La Vall d'Hebron,38.888888888888886
2018-06,La Verneda i La Pau,35.859154929577464
2018-06,La Vila Olímpica,195.29518072289156
2018-06,Les Corts,83.50246305418719
2018-06,Les Tres Torres,113.65517241379311
2018-06,Montbau,32.733333333333334
2018-06,Navas,44.69047619047619
2018-06,Nou Barris,33.6875
2018-06,Pedralbes,130.4814814814815
2018-06,Porta,37.97435897435897
2018-06,Provençals del Poblenou,68.64285714285714
2018-06,Sant Andreu,40.0
2018-06,Sant Andreu de Palomar,99.85507246376811
2018-06,Sant Antoni,87.69987228607918
2018-06,Sant Genís dels Agudells,44.69565217391305
2018-06,Sant Gervasi - Galvany,116.82720588235294
2018-06,Sant Gervasi - la Bonanova,77.6590909090909
2018-06,Sant Martí,189.23529411764707
2018-06,Sant Martí de Provençals,42.51428571428571
2018-06,Sant Pere/Santa Caterina,90.90225563909775
2018-06,Sants-Montjuïc,76.97924187725631
2018-06,Sarrià,81.33333333333333
2018-06,Sarrià-Sant Gervasi,165.0
2018-06,Torre Baró,40.714285714285715
2018-06,Trinitat Nova,47.0
2018-06,Turó de la Peira - Can Peguera,36.916666666666664
2018-06,Vallcarca i els Penitents,67.96296296296296
2018-06,Verdum - Los Roquetes,33.32432432432432
2018-06,Vila de Gràcia,96.39638682252922
2018-06,Vilapicina i la Torre Llobeta,39.528301886792455
2018-06,el Fort Pienc,106.42168674698796
2018-07,Baró de Viver,25.0
2018-07,Camp d'en Grassot i Gràcia Nova,112.95819935691318
2018-07,Can Baro,52.79545454545455
2018-07,Carmel,113.5050505050505
2018-07,Ciutat Vella,119.2
2018-07,Diagonal Mar - La Mar Bella,266.91954022988506
2018-07,Dreta de l'Eixample,163.31305375073833
2018-07,Eixample,79.69090909090909
2018-07,El Baix Guinardó,62.13970588235294
2018-07,El Besòs i el Maresme,52.36986301369863
2018-07,El Bon Pastor,27.22222222222222
2018-07,El Born,85.37592137592138
2018-07,El Camp de l'Arpa del Clot,68.33574007220217
2018-07,El Clot,59.98692810457516
2018-07,El Coll,56.45652173913044
2018-07,El Congrés i els Indians,85.86
2018-07,El Gòtic,84.19831223628692
2018-07,El Poble-sec,93.20222222222222
2018-07,El Poblenou,102.09255079006772
2018-07,El Putget i Farró,105.28260869565217
2018-07,El Raval,78.38585209003216
2018-07,Glòries - El Parc,70.2914979757085
2018-07,Gràcia,110.83333333333333
2018-07,Guinardó,70.11494252873563
2018-07,Horta,52.70454545454545
2018-07,Horta-Guinardó,126.44444444444444
2018-07,L'Antiga Esquerra de l'Eixample,99.18324607329843
2018-07,La Barceloneta,83.890625
2018-07,La Font d'en Fargues,132.6153846153846
2018-07,La Guineueta - Canyelles,36.12
2018-07,La Maternitat i Sant Ramon,97.04225352112677
2018-07,La Nova Esquerra de l'Eixample,100.66702586206897
2018-07,La Prosperitat,39.76470588235294
2018-07,La Sagrada Família,98.2423935091278
2018-07,La Sagrera,54.672413793103445
2018-07,La Salut,64.44545454545455
